course_id,year,term
 ENG111,1,1
 FIL111,1,1
 IT111,1,1
 IT112,1,1
 IT113,1,1
 IT114,1,1
 GE 111,1,1
 PE1,1,1
 NSTP1,1,1
 ENG122,1,2
 FIL122,1,2
 MA121,1,2
 MA122,1,2
 IT121,1,2
 IT122,1,2
 IT123,1,2
 PE 2,1,2
 NSTP2,1,2
 ENG133,1,3
 GE 112,1,3
 PHY131,1,3
 IT131,1,3
 IT132,1,3
 IT133,1,3
 PE3,1,3
 ENG214,2,1
 PHY212,2,1
 IT211,2,1
 IT212,2,1
 IT213,2,1
 PE4,2,1
 BA221,2,2
 IT221,2,2
 GE113,2,2
 IT222,2,2
 GE114,2,2
 IT223,2,2
 IT231,2,3
 IT232,2,3
 IT233,2,3
 GE115,2,3
 GE116,2,3
 IT311,3,1
 GE117,3,1
 IT314A,3,1
 GE118,3,2
 GE119,3,2
 IT314B,3,2
 OJT331,3,3
 ITElective1,2,1
 ITElective2,2,2
 ITElective3,2,3
 FreeElective1,2,3
 FreeElective2,3,1
 FreeElective3,3,2
 ENG111,1,1
 CS112,1,1
 IT123,3,3
 IT246,3,3
 IT246,3,3
